baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610007P14Rik	2112.77086034256	0.00604696050101404	0.046237532389778	0.130780346365345	0.89594907077724	0.954566378424358
0610009B22Rik	573.843694513773	-0.0910996386876807	0.0689650406315688	-1.32095388987533	0.186516739347237	0.39295142120171
0610009L18Rik	67.7057043633944	0.0867017242675789	0.157568409394406	0.550248140479463	0.58214918868666	0.77186088881563
0610009O20Rik	2426.71528328435	-0.0720388143985259	0.0519988945594372	-1.38539126665822	0.16593285999037	0.364955270149616
0610010F05Rik	1252.09028203286	-0.0640607644319726	0.0569784103897168	-1.12429890538915	0.260886242591673	0.489320030390419
0610010K14Rik	1816.34501099457	0.0219006802878474	0.0702958593049185	0.31155007570005	0.755382480727182	0.885057129276857
0610030E20Rik	3326.69255915749	0.0844029154304407	0.0520155412396618	1.62264802824129	0.104664667270189	0.268788493345325
0610037L13Rik	2953.94455494706	0.109343330254848	0.0526604593468351	2.07638390570589	0.0378584585749626	0.128967780474384
0610040J01Rik	60.1216078377138	0.213499714640657	0.209132034692662	1.02088479631738	0.307309023142512	0.538719511624345
1110002E22Rik	41.71027947897	-0.920856956697579	0.250503189156911	-3.67602887530812	0.000236892721373857	0.00218038928481514
1110004E09Rik	654.961629407541	0.1139654514361	0.0526148038720396	2.16603394955661	0.0303085927607105	0.109374154234182
1110008F13Rik	2540.51453229765	-0.00212773256650406	0.0711408503585327	-0.0299087311408396	0.976139842522397	0.989193944815035
1110008L16Rik	630.90616181316	0.0117464485470442	0.0832066715094228	0.141171955733309	0.88773410025413	0.950232688373552
1110008P14Rik	482.650045094967	0.0779032129211654	0.113057678702679	0.689057247726065	0.490787242450087	0.704844051399733
1110012L19Rik	601.577427396061	-0.0997825506229774	0.0729397860972989	-1.36801265758953	0.171308114123257	0.372479188207762
1110017D15Rik	9.82830327988531	0.075804467691813	0.3971661310391	0.190863373705826	0.848632636155774	0.933463247496008
1110032A03Rik	483.692442255234	-0.277446075170643	0.0973240339888407	-2.85074573873967	0.00436168321938146	0.0242591050341784
1110032F04Rik	309.23506205993	-0.0723054903564914	0.112197587083194	-0.64444781956743	0.519285084072421	0.725719690235744
1110034G24Rik	216.333356683729	-0.103377060311376	0.0959285970442809	-1.07764591056885	0.281191805432078	0.511394772419456
1110037F02Rik	5898.81506906142	0.0478669289063256	0.0511547010036492	0.935728837568827	0.349412819038702	0.581771326189774
1110038F14Rik	1344.09054340733	0.225242053740451	0.0561401225446827	4.01214040032024	6.01706943656154e-05	0.000679905063448305
1110051M20Rik	1540.43059072124	-0.137809291764631	0.0406937331515596	-3.38649912632431	0.000707905019104693	0.00550206106550556
1110059E24Rik	1376.4616921239	-0.10046553082999	0.0791997999371754	-1.26850738145404	0.204616816392292	0.41812620064495
1110059G10Rik	729.724829529882	-0.0566986981310602	0.0947858417808504	-0.598176869728608	0.549721923334255	0.748709106198446
1190002N15Rik	7379.51353527808	0.0253441957801992	0.105443775211628	0.240357439112294	0.810053169817836	0.913666851524986
1190005I06Rik	92.534449890635	0.376703691797743	0.173951212846601	2.16557094160613	0.0303439889012282	0.109446625625576
1500009C09Rik	8.03335120160084	-1.08367607217481	1.93476180217776	-0.560108262916411	0.575405594713255	0.767100127852198
1500009L16Rik	1073.1511803773	-0.590596568223559	0.143672122274053	-4.11072488437946	3.94418924937285e-05	0.000467869221000295
1500011K16Rik	264.571382100074	-0.00454471284863927	0.0917743498095097	-0.0495205126276835	0.960504490539695	0.98092383178009
1500015O10Rik	20.0467756712177	-1.15656928654514	0.44885282412737	-2.57672275716135	0.00997419149318381	0.0473262979130313
1600002H07Rik	1282.88031417815	0.222013522913239	0.0495352443417117	4.48193050955216	7.39708321365519e-06	0.000106158541622477
1600002K03Rik	173.403971841503	-0.111246073329805	0.11148145041564	-0.997888643492194	0.318333359453397	0.550303064834753
1600012H06Rik	1410.91057284183	-0.346041354219699	0.0733563613155058	-4.71726443370569	2.39036919530121e-06	3.82619678360979e-05
1600014C23Rik	1.18528726286987	-1.15972437165669	1.26163130508265	-0.919226058345717	0.357977343913201	0.589439944003605
1600015I10Rik	0.202075850985051	-0.283678190576011	3.11653965008542	-0.0910234498599225	0.927473958106	NA
1700001C02Rik	0.493894462218078	-1.5112318848749	1.86909653807663	-0.808536024805875	0.418782076388705	NA
1700001C19Rik	18.380578838496	-0.757175197510975	0.334901561592024	-2.26088882330553	0.0237661424030241	0.0917095814691481
1700001K19Rik	16.69819889142	-2.9760759157432	0.411601642714081	-7.23047628313412	4.81303043036732e-13	2.52931827101729e-11
1700001L19Rik	11.4859274674849	0.177925608009742	0.374770073877238	0.474759380248768	0.634958488359845	0.810438131316691
1700001O22Rik	191.042589735865	0.0806203293809991	0.129710056552224	0.621542627641518	0.534242656314258	0.737537119933156
1700001P01Rik	16.1154268636795	-1.71774700253212	0.33036682053403	-5.19951428462283	1.99809972014749e-07	4.21873521414892e-06
1700003E16Rik	136.014073528222	-0.04414704962672	0.170027151724572	-0.259647057419594	0.795136034249729	0.905875750978579
1700003F12Rik	23.1821658633549	0.451193421686595	0.267148244542097	1.68892527240806	0.0912337514366038	0.245268994364268
1700007B14Rik	0.267088861965792	-0.283677762566362	2.97808907424984	-0.0952549623243955	0.924112314786276	NA
1700007G11Rik	11.6322209468994	0.318434661468586	0.406868691175945	0.782647248054984	0.433834287770636	0.656798284620995
1700007K09Rik	2.50298283605931	0.159332089934154	0.780264096372286	0.204202770158134	0.838195046694503	0.927866399972572
1700007K13Rik	35.0688076239142	-0.304513710410897	0.247773266022955	-1.22900147904853	0.219071251477844	0.436700175557403
1700008O03Rik	25.570173729674	0.462750533146022	0.233928304092423	1.9781724787061	0.0479092523252057	0.153718260995845
1700009N14Rik	1.34598447000882	-0.557141798062373	1.16376127874278	-0.478742340236871	0.63212194068945	0.808984781109767
1700010B08Rik	5.1106682334511	0.569229079663567	0.594665752729812	0.957225259821205	0.33845357007634	0.57151273841361
1700010I14Rik	25.8179191223998	-1.4257826179676	0.257340482261862	-5.54045211012221	3.01691737155409e-08	7.47379842443572e-07
1700011H14Rik	0.146835077204249	-0.764571866603498	3.11653965008542	-0.24532717450989	0.806203112312144	NA
1700011I03Rik	0.457498978870309	2.40561717864618	2.1618942507607	1.11273582313276	0.265821905332781	NA
1700011L22Rik	0.505644038651503	1.103438418473	2.66774385221108	0.413622326430796	0.679150719732032	NA
1700012B07Rik	0.170538137986342	0.197213149989398	3.11653965008542	0.0632795254133836	0.949543919435932	NA
1700012B09Rik	1.2795264718049	0.0589743447513553	1.32716844625366	0.0444362167574346	0.964556693350898	0.9829868369284
1700013F07Rik	2.79124390499507	-0.636757886382037	0.755569089641179	-0.84275269477267	0.399366769582852	0.628003146800581
1700013H16Rik	1.77511137430089	-1.99671486305644	1.18112111001575	-1.69052508343519	0.0909275436079712	0.244675886357745
1700014D04Rik	6.08233844511253	3.18343810718389	0.65941119082157	4.82769803044683	1.38120316002286e-06	2.37580240305255e-05
1700015F17Rik	0.389485507760476	0.679319834647967	1.99053876481116	0.341274355796036	0.732897051434921	NA
1700016C15Rik	2.67172160102759	1.7866068763558	0.803923124904048	2.22236034890655	0.0262589627289818	0.0984383984390416
1700016D06Rik	16.7808887790169	1.28805923334646	0.367669059108971	3.50331147382379	0.000459511801717985	0.00385235289956415
1700016H13Rik	8.41646093894254	-0.455252667758904	0.500302086463803	-0.909955565000111	0.362845944213623	0.594103084374517
1700016K19Rik	11.8043662332935	0.48941516329907	0.356975242555866	1.37100589888241	0.170373117174147	0.371180206811044
1700017B05Rik	1773.66406840092	0.332307292308761	0.0915623724202254	3.62929971695837	0.000284191126749855	0.00253658732785792
1700017N19Rik	0.164317326170569	0.197213149989398	3.11653965008542	0.0632795254133836	0.949543919435932	NA
1700018B08Rik	0.787498352256471	-0.388018072943914	1.43385151109448	-0.270612451806627	0.786689117904708	NA
1700018C11Rik	0.156259494427934	0.197213149989398	3.11653965008542	0.0632795254133837	0.949543919435932	NA
1700019A02Rik	2.50063772172659	-2.30246015703707	0.965961855547937	-2.38359324833899	0.0171445403298488	0.0713017339176197
1700019B03Rik	1.636442714775	-0.499437767206375	1.16502949434048	-0.428691092914437	0.66814804353148	0.831749353014569
1700019D03Rik	147.726427505499	0.0177218716726238	0.141756785126544	0.125016038257384	0.900510853259091	0.955668730899506
1700019N19Rik	0.462825046958425	-0.5836899001663	1.91725428020338	-0.304440525283054	0.760792297358203	NA
1700020A23Rik	7.63096554580497	0.446642005807899	0.458869694666538	0.973352590069114	0.330378093246954	0.562881605845296
1700020D05Rik	26.2370521567239	0.200466070942553	0.296872122046442	0.675260679785865	0.499510160688248	0.710588996504561
1700020L24Rik	61.8661135998751	-0.388127832922602	0.160790046198169	-2.41387972763093	0.0157836715007047	0.0669471217896358
1700020N01Rik	0.170558486214218	0.197213149989398	3.11653965008542	0.0632795254133837	0.949543919435932	NA
1700021F05Rik	846.408630995739	-0.0116031895781605	0.0692748355569029	-0.167495014385557	0.86698057006171	0.940544950551159
1700023F06Rik	61.1900634959604	-0.313086816553748	0.307436429311633	-1.01837904263579	0.308497857852786	0.539739091817346
1700024G13Rik	0.627490013865628	-1.91577538251613	1.58147613557474	-1.21138431331428	0.225748148551784	NA
1700024P16Rik	20.7237374139987	-0.0147388837427862	0.310097094279326	-0.0475298995530407	0.962090900860215	0.981568287780965
1700025C18Rik	0.144160655483337	0.197213149989399	3.11653965008542	0.0632795254133837	0.949543919435932	NA
